name,location,id,date
NewYork_274_2002.18,NewYork,274,2002.18
NewYork_129_2002.14,NewYork,129,2002.14
NewYork_112_2002.1,NewYork,112,2002.1
NewYork_160_2000.02,NewYork,160,2000.02
NewYork_2_2003.84,NewYork,2,2003.84
NewYork_413_2002.13,NewYork,413,2002.13
NewYork_440_2000.08,NewYork,440,2000.08
NewYork_589_1996.98,NewYork,589,1996.98
NewYork_740_1994.05,NewYork,740,1994.05
NewYork_433_2000.03,NewYork,433,2000.03
NewYork_115_2002.12,NewYork,115,2002.12
NewYork_453_1999.05,NewYork,453,1999.05
NewYork_802_1993.18,NewYork,802,1993.18
NewYork_764_1993.16,NewYork,764,1993.16
NewYork_24_2003.94,NewYork,24,2003.94
NewYork_636_1996.07,NewYork,636,1996.07
NewYork_781_1993.25,NewYork,781,1993.25
NewYork_99_2002.08,NewYork,99,2002.08
NewYork_372_2005,NewYork,372,2005
NewYork_431_2000.02,NewYork,431,2000.02
NewYork_613_1996.04,NewYork,613,1996.04
NewYork_418_2002.06,NewYork,418,2002.06
NewYork_335_1999.07,NewYork,335,1999.07
NewYork_457_1999.06,NewYork,457,1999.06
NewYork_460_1999.08,NewYork,460,1999.08
NewYork_448_1998.91,NewYork,448,1998.91
NewYork_563_1996.88,NewYork,563,1996.88
NewYork_450_1999.04,NewYork,450,1999.04
NewYork_479_2003.88,NewYork,479,2003.88
NewYork_84_2002.01,NewYork,84,2002.01
NewYork_429_2000.02,NewYork,429,2000.02
NewYork_357_2005.15,NewYork,357,2005.15
NewYork_652_1995.93,NewYork,652,1995.93
NewYork_245_2004.9,NewYork,245,2004.9
NewYork_521_1998.07,NewYork,521,1998.07
NewYork_279_1999.16,NewYork,279,1999.16
NewYork_560_1997.03,NewYork,560,1997.03
NewYork_9_2003.85,NewYork,9,2003.85
NewYork_405_2002.04,NewYork,405,2002.04
NewYork_715_1994.59,NewYork,715,1994.59
NewYork_671_1995.03,NewYork,671,1995.03
NewYork_42_2003.96,NewYork,42,2003.96
NewYork_541_1998.21,NewYork,541,1998.21
NewYork_203_2003.37,NewYork,203,2003.37
NewYork_360_2004.9,NewYork,360,2004.9
NewYork_554_1996.88,NewYork,554,1996.88
NewYork_14_2003.94,NewYork,14,2003.94
NewYork_38_2003.99,NewYork,38,2003.99
NewYork_276_2002.2,NewYork,276,2002.2
