name,location,id,date,season
NewYork_270_2003.9,NewYork,270,2003.9,2003-2004
NewYork_412_2002.11,NewYork,412,2002.11,2001-2002
NewYork_366_2004.99,NewYork,366,2004.99,2004-2005
NewYork_329_1999.1,NewYork,329,1999.1,1998-1999
NewYork_268_2003.93,NewYork,268,2003.93,2003-2004
NewYork_420_2002.1,NewYork,420,2002.1,2001-2002
NewYork_122_2002.24,NewYork,122,2002.24,2001-2002
NewYork_536_1998.11,NewYork,536,1998.11,1997-1998
NewYork_105_2002.12,NewYork,105,2002.12,2001-2002
NewYork_71_2001.91,NewYork,71,2001.91,2001-2002
NewYork_742_1994.04,NewYork,742,1994.04,1993-1994
NewYork_120_2002.16,NewYork,120,2002.16,2001-2002
NewYork_750_1994.08,NewYork,750,1994.08,1993-1994
NewYork_459_1999.08,NewYork,459,1999.08,1998-1999
NewYork_591_1996.99,NewYork,591,1996.99,1996-1997
NewYork_156_2000.03,NewYork,156,2000.03,1999-2000
NewYork_30_2003.94,NewYork,30,2003.94,2003-2004
NewYork_393_2005.25,NewYork,393,2005.25,2004-2005
NewYork_35_2003.95,NewYork,35,2003.95,2003-2004
NewYork_41_2003.96,NewYork,41,2003.96,2003-2004
NewYork_53_2003.96,NewYork,53,2003.96,2003-2004
NewYork_735_1994.05,NewYork,735,1994.05,1993-1994
NewYork_92_2002.07,NewYork,92,2002.07,2001-2002
NewYork_284_1999.2,NewYork,284,1999.2,1998-1999
NewYork_403_2002.03,NewYork,403,2002.03,2001-2002
NewYork_609_1995.98,NewYork,609,1995.98,1995-1996
NewYork_142_2000.12,NewYork,142,2000.12,1999-2000
NewYork_127_2002.02,NewYork,127,2002.02,2001-2002
NewYork_315_1999.03,NewYork,315,1999.03,1998-1999
NewYork_155_1999.95,NewYork,155,1999.95,1999-2000
NewYork_89_2002.05,NewYork,89,2002.05,2001-2002
NewYork_36_2003.96,NewYork,36,2003.96,2003-2004
NewYork_256_1999.01,NewYork,256,1999.01,1998-1999
NewYork_134_2002.03,NewYork,134,2002.03,2001-2002
NewYork_517_1998.02,NewYork,517,1998.02,1997-1998
NewYork_177_1999.83,NewYork,177,1999.83,1999-2000
NewYork_321_1999.06,NewYork,321,1999.06,1998-1999
NewYork_100_2002.08,NewYork,100,2002.08,2001-2002
NewYork_258_2005.07,NewYork,258,2005.07,2004-2005
NewYork_166_2000,NewYork,166,2000,1999-2000
NewYork_594_1996.9,NewYork,594,1996.9,1996-1997
NewYork_173_2000.11,NewYork,173,2000.11,1999-2000
NewYork_210_2005.15,NewYork,210,2005.15,2004-2005
NewYork_402_2002.01,NewYork,402,2002.01,2001-2002
NewYork_119_2002.1,NewYork,119,2002.1,2001-2002
NewYork_132_2002.09,NewYork,132,2002.09,2001-2002
NewYork_17_2003.9,NewYork,17,2003.9,2003-2004
NewYork_514_1998.05,NewYork,514,1998.05,1997-1998
NewYork_381_2005.01,NewYork,381,2005.01,2004-2005
NewYork_729_1994.17,NewYork,729,1994.17,1993-1994
NewYork_695_1995.18,NewYork,695,1995.18,1994-1995
NewYork_416_2002.18,NewYork,416,2002.18,2001-2002
NewYork_145_1999.87,NewYork,145,1999.87,1999-2000
NewYork_333_1999.15,NewYork,333,1999.15,1998-1999
NewYork_573_1996.99,NewYork,573,1996.99,1996-1997
NewYork_606_1995.92,NewYork,606,1995.92,1995-1996
NewYork_326_1999.07,NewYork,326,1999.07,1998-1999
NewYork_354_2005.01,NewYork,354,2005.01,2004-2005
NewYork_37_2003.95,NewYork,37,2003.95,2003-2004
NewYork_663_1994.98,NewYork,663,1994.98,1994-1995
NewYork_322_1999.23,NewYork,322,1999.23,1998-1999
NewYork_498_2004.05,NewYork,498,2004.05,2003-2004
NewYork_424_1999.98,NewYork,424,1999.98,1999-2000
NewYork_734_1994.03,NewYork,734,1994.03,1993-1994
NewYork_713_1994.14,NewYork,713,1994.14,1993-1994
NewYork_73_2004.82,NewYork,73,2004.82,2004-2005
NewYork_118_2002.1,NewYork,118,2002.1,2001-2002
NewYork_86_2002.18,NewYork,86,2002.18,2001-2002
NewYork_578_1997.01,NewYork,578,1997.01,1996-1997
NewYork_93_2002.16,NewYork,93,2002.16,2001-2002
NewYork_680_1995.12,NewYork,680,1995.12,1994-1995
NewYork_45_2003.96,NewYork,45,2003.96,2003-2004
NewYork_579_1997.02,NewYork,579,1997.02,1996-1997
NewYork_752_1994.01,NewYork,752,1994.01,1993-1994
NewYork_130_2002.21,NewYork,130,2002.21,2001-2002
NewYork_162_2000.13,NewYork,162,2000.13,1999-2000
NewYork_11_2003.85,NewYork,11,2003.85,2003-2004
NewYork_232_2004.96,NewYork,232,2004.96,2004-2005
NewYork_655_1994.89,NewYork,655,1994.89,1994-1995
NewYork_657_1994.93,NewYork,657,1994.93,1994-1995
NewYork_175_2000.03,NewYork,175,2000.03,1999-2000
NewYork_548_1998.13,NewYork,548,1998.13,1997-1998
NewYork_383_2005.02,NewYork,383,2005.02,2004-2005
NewYork_34_2003.94,NewYork,34,2003.94,2003-2004
NewYork_236_2005.01,NewYork,236,2005.01,2004-2005
NewYork_676_1995.06,NewYork,676,1995.06,1994-1995
NewYork_664_1995.21,NewYork,664,1995.21,1994-1995
NewYork_659_1994.95,NewYork,659,1994.95,1994-1995
NewYork_561_1996.99,NewYork,561,1996.99,1996-1997
NewYork_110_2002.1,NewYork,110,2002.1,2001-2002
NewYork_526_1998.01,NewYork,526,1998.01,1997-1998
